30.7169,2.44967
30.538,2.4496
0.122848,0.00730267
0.141885,0.0119438
0.0493226,0.00875732
0.0689163,0.00471586
0.0655713,0.0061864
0.0431639,0.0105343
0.0169723,0.00988931
0.0729765,0.00645891
0.0525393,0.00452902
0.0529411,0.00894237
0.0393015,0.00546568
0.079945,0.0106505
0.113735,0.00823066
0.139345,0.0168753
0.178521,0.0140995
0.13425,0.0199356
0.050369,0.0858456
0.113249,0.0218094
0.0585042,0.0243246
0.13941,0.0777459
0.0817015,0.0350236
0.020515,0.0166863
0.0834314,0.0385334
0.04816,0.0051927
0.0408383,0.0162193
0.0800846,0.0316541
0.173217,0.0690983
0.0788691,0.057582
0.0341337,0.0130704
0.032718,0.0346638
0.0712979,0.0490298
0.0422949,0.0632261
0.0408067,0.00529359
0.090925,0.0368139
0.0692417,0.054721
0.074138,0.0225991
0.0836604,0.0619025
0.061492,0.0646111
0.100688,0.0501189
0.246553,0.00487862
0.211652,0.0624254
0.0897726,0.0857313
0.0960661,0.0240082
0.0682652,0.0334167
0.0866283,0.0385022
0.0890125,0.142475
0.0565058,0.0501051
0.0633852,0.00539472
